book_key,book_id,book_category,book_subcategory,rank,book_partial_url,dist_rating,book_title,author,price,book_type,number_of_review,rating,audible_length,narrator,release_date,publisher,program_type,book_version,book_language,asin,page_number,isbn_10,isbn_13,book_weight,book_dimensions,file_size,text_to_speech,screenreader,enhanced_typesetting,word_wise,x_ray,book_weight_gram,price_$,review_num,audible_length_minute,file_size_kb,page_num,book_width,book_thick,book_height,date_release,rate_5,rate_4,rate_3,rate_2,rate_1,rank_text,review_score,estimated_total_sales,row_number
16691,11332,Self-Help,Creativity,#45,/Hyperfocus-More-Productive-World-Distraction/dp/B07DPV34KB/ref=zg_bs_943284_sccl_15/000-0000000-0000000?pd_rd_i=B07DPV34KB&psc=1,"[64%, 22%, 7%, 4%, 3%]",Hyperfocus: How to Be More Productive in a World of Distraction,Chris Bailey,$26.86,AudibleAudiobook,1924,4.4,6 hours and 40 minutes,Chris Bailey,August 28 2018,Penguin Audio,Audiobook,Unabridged,English,B07DPV34KB,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,26.86,1924,400,0,0,NaN,,,2018-08-28,64,22,7,4,3,Middle rank,84.66,247055.71,1
16695,11335,Self-Help,Creativity,#49,/Creative-Fire-Stories-Cycles-Creativity/dp/B071L8WDVQ/ref=zg_bs_943284_sccl_19/000-0000000-0000000?pd_rd_i=B071L8WDVQ&psc=1,"[85%, 7%, 5%, 0%, 3%]",The Creative Fire: Myths and Stories on the Cycles of Creativity,Clarissa Pinkola Estés,$19.15,AudibleAudiobook,50,4.7,2 hours and 57 minutes,Clarissa Pinkola Estes,April 03 2009,Sounds True,Audiobook,Unabridged,English,B071L8WDVQ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,19.15,50,177,0,0,NaN,,,2009-04-03,85,7,5,0,3,Middle rank,,1408.94,1
16697,11336,Self-Help,Creativity,#51,/Audible-12-Notes-Life-Creativity/dp/B09S1DR9TN/ref=zg_bs_943284_sccl_1/000-0000000-0000000?pd_rd_i=B09S1DR9TN&psc=1,"[90%, 6%, 2%, 1%, 1%]",12 Notes: On Life and Creativity,Quincy Jones,$32.84,AudibleAudiobook,187,4.8,5 hours and 7 minutes,Quincy Jones,April 05 2022,Audible Studios,Audiobook,Unabridged,English,B09S1DR9TN,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,NaN,187,307,0,0,NaN,,,2022-04-05,90,6,2,1,1,Middle rank,8.98,,1
16710,11344,Self-Help,Creativity,#64,/Mother-Night-Stories-Teachings-Learning/dp/B07231H7PS/ref=zg_bs_943284_sccl_14/000-0000000-0000000?pd_rd_i=B07231H7PS&psc=1,"[78%, 6%, 3%, 5%, 8%]","Mother Night: Myths, Stories and Teachings for Learning to See in the Dark",Clarissa Pinkola Estés,$64.80,AudibleAudiobook,41,4.4,9 hours and 58 minutes,Clarissa Pinkola Estes,February 05 2010,Sounds True,Audiobook,Unabridged,English,B07231H7PS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,64.80,41,598,0,0,NaN,,,,78,6,3,5,8,Middle rank,,,1
16718,11350,Self-Help,Creativity,#72,/Rest-More-Done-When-Work/dp/B077DVPVFN/ref=zg_bs_943284_sccl_22/000-0000000-0000000?pd_rd_i=B077DVPVFN&psc=1,"[62%, 21%, 11%, 3%, 3%]",Rest: Why You Get More Done When You Work Less,Alex Soojung-Kim Pang,$34.87,AudibleAudiobook,553,4.4,6 hours and 57 minutes,Adam Sims,December 05 2017,Hachette Audio,Audiobook,Unabridged,English,B077DVPVFN,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,34.87,553,417,0,0,NaN,,,,62,21,11,3,3,Middle rank,24.33,,1
16719,11351,Self-Help,Creativity,#73,/Steal-Like-Artist-Audio-Trilogy/dp/B0B6QB4WL5/ref=zg_bs_943284_sccl_23/000-0000000-0000000?pd_rd_i=B0B6QB4WL5&psc=1,"[70%, 11%, 19%, 0%, 0%]","The Steal Like an Artist Audio Trilogy: How to Be Creative, Show Your Work, and Keep Going",Austin Kleon,$22.46,AudibleAudiobook,12,4.5,4 hours and 32 minutes,Austin Kleon,July 15 2022,Workman Publishing Company,Audiobook,Unabridged,English,B0B6QB4WL5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,22.46,12,272,0,0,NaN,,,2022-07-15,70,11,19,0,0,Middle rank,,17886.33,1
16721,11353,Self-Help,Creativity,#75,/Genius-Zone-Breakthrough-Negative-Creativity/dp/B08PW5QJWH/ref=zg_bs_943284_sccl_25/000-0000000-0000000?pd_rd_i=B08PW5QJWH&psc=1,"[77%, 13%, 7%, 1%, 3%]",The Genius Zone: The Breakthrough Process to End Negative Thinking and Live in True Creativity,Gay Hendricks,$11.39,AudibleAudiobook,128,4.6,3 hours and 12 minutes,Gay Hendricks,June 29 2021,Macmillan Audio,Audiobook,Unabridged,English,B08PW5QJWH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,11.39,128,192,0,0,NaN,,,2021-06-29,77,13,7,1,3,Middle rank,5.89,21675.80,1
16739,11361,Self-Help,Creativity,#93,/Gift-Creative-Spirit-Transforms-World/dp/B09HY7H251/ref=zg_bs_943284_sccl_13/000-0000000-0000000?pd_rd_i=B09HY7H251&psc=1,"[67%, 13%, 8%, 5%, 7%]",The Gift: How the Creative Spirit Transforms the World,Lewis Hyde,$36.04,AudibleAudiobook,174,4.3,13 hours and 36 minutes,Stephen Bowlby,January 11 2022,Blackstone Publishing,Audiobook,Unabridged,English,B09HY7H251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,36.04,174,816,0,0,NaN,,,,67,13,8,5,7,Low rank,7.48,,1
44542,11429,Home & Garden,Interior Design,#21,/Decluttering-Speed-Life-Winning-Never-Ending/dp/B079J53DGR/ref=zg_bs_943918_sccl_21/000-0000000-0000000?pd_rd_i=B079J53DGR&psc=1,"[79%, 13%, 5%, 2%, 1%]",Decluttering at the Speed of Life: Winning Your Never-Ending Battle with Stuff,Dana K. White,$27.51,AudibleAudiobook,3052,4.7,6 hours and 6 minutes,Dana K. White,February 27 2018,Thomas Nelson,Audiobook,Unabridged,English,B079J53DGR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,17.10,3052,366,0,0,NaN,,,,79,13,5,2,1,Top rank,143.44,,1
16849,11432,Self-Help,Self-Help for Anxieties & Phobias,#3,/Anger-Management-Emotional-Intelligence-Self-Discipline/dp/B07YYP9G1B/ref=zg_bs_21602943011_sccl_3/000-0000000-0000000?pd_rd_i=B07YYP9G1B&psc=1,"[0%, 0%, 0%, 0%, 0%]","Anger Management: The Ultimate Guide to Take Control of Your Emotions and Achieve Freedom from Anger, Stress, and Anxiety: Increase Your Emotional Intelligence, Self-Discipline, Awareness",Richard E. Johnson,$16.40,AudibleAudiobook,unknown,0,3 hours and 12 minutes,Scott Clem,October 15 2019,Richard E. Johnson,Audiobook,Unabridged,English,B07YYP9G1B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,16.40,,192,0,0,NaN,,,,0,0,0,0,0,Top rank,,,1
16857,11436,Self-Help,Self-Help for Anxieties & Phobias,#11,/Unwinding-Anxiety-Science-Shows-Cycles/dp/B08MH2NB87/ref=zg_bs_21602943011_sccl_11/000-0000000-0000000?pd_rd_i=B08MH2NB87&psc=1,"[72%, 18%, 7%, 2%, 2%]",Unwinding Anxiety: New Science Shows How to Break the Cycles of Worry and Fear to Heal Your Mind,Judson Brewer,$26.86,AudibleAudiobook,1777,4.6,7 hours and 20 minutes,Judson Brewer,March 09 2021,Penguin Audio,Audiobook,Unabridged,English,B08MH2NB87,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,23.77,1777,440,0,0,NaN,,,2021-03-09,72,18,7,2,2,Top rank,81.74,511354.59,1
16861,11437,Self-Help,Self-Help for Anxieties & Phobias,#15,/Hardcore-Self-Help-F-k-Anxiety/dp/B071VH69X1/ref=zg_bs_21602943011_sccl_15/000-0000000-0000000?pd_rd_i=B071VH69X1&psc=1,"[63%, 18%, 11%, 3%, 5%]",Hardcore Self Help: F--k Anxiety,Robert Duff,$8.17,AudibleAudiobook,1652,4.3,1 hour and 26 minutes,Robert Duff,January 16 2015,Robert Duff,Audiobook,Unabridged,English,B071VH69X1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,8.17,1652,86,0,0,NaN,,,,63,18,11,3,5,Top rank,71.04,,1
16865,11439,Self-Help,Self-Help for Anxieties & Phobias,#19,/Dare-Anxiety-Stop-Panic-Attacks/dp/B071RW8XKZ/ref=zg_bs_21602943011_sccl_19/000-0000000-0000000?pd_rd_i=B071RW8XKZ&psc=1,"[79%, 12%, 5%, 2%, 2%]",Dare: The New Way to End Anxiety and Stop Panic Attacks Fast,Barry McDonagh,$21.88,AudibleAudiobook,4084,4.6,6 hours and 19 minutes,Barry McDonagh,April 27 2016,BMD Publishing,Audiobook,Unabridged,English,B071RW8XKZ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,21.88,4084,379,0,0,NaN,,,2016-04-27,79,12,5,2,2,Top rank,187.86,274081.02,1
16866,11440,Self-Help,Self-Help for Anxieties & Phobias,#20,/Lanxi%C3%A9t%C3%A9-apprivois%C3%A9e/dp/B097RZ8KDL/ref=zg_bs_21602943011_sccl_20/000-0000000-0000000?pd_rd_i=B097RZ8KDL&psc=1,"[75%, 19%, 4%, 2%, 0%]",L'anxiété apprivoisée,Amélie Seidah PhD,$23.40,AudibleAudiobook,66,4.7,3 hours and 39 minutes,Marie-Lee Picknel,June 24 2021,Vues et Voix,Audiobook,Unabridged,French,B097RZ8KDL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,23.40,66,219,0,0,NaN,,,2021-06-24,75,19,4,2,0,Top rank,,22730.08,1
16869,11443,Self-Help,Self-Help for Anxieties & Phobias,#23,/Retraining-Brain-Cognitive-Behavioral-Therapy/dp/B07SQ415XX/ref=zg_bs_21602943011_sccl_23/000-0000000-0000000?pd_rd_i=B07SQ415XX&psc=1,"[100%, 0%, 0%, 0%, 0%]","Retraining Your Brain with Cognitive Behavioral Therapy: The Basics and Beyond Workbook to Eliminate Anxiety, Depression, Anger, and Intrusive Thoughts in 7 Weeks with Over 10 Simple Strategies",George C. Dale,$16.40,AudibleAudiobook,3,5,3 hours and 30 minutes,David Palminteri,June 07 2019,George C. Dale,Audiobook,Unabridged,English,B07SQ415XX,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,16.40,3,210,0,0,NaN,,,2019-06-07,100,0,0,0,0,Top rank,,288.71,1
16872,11446,Self-Help,Self-Help for Anxieties & Phobias,#26,/Untangle-Your-Anxiety-Overcoming-Disorder/dp/B09MR7J1QQ/ref=zg_bs_21602943011_sccl_26/000-0000000-0000000?pd_rd_i=B09MR7J1QQ&psc=1,"[81%, 12%, 4%, 2%, 1%]",Untangle Your Anxiety: A Guide to Overcoming an Anxiety Disorder by Two People Who Have Been Through It,Joshua Fletcher,$16.40,AudibleAudiobook,1660,4.7,4 hours and 8 minutes,Joshua Fletcher,November 29 2021,Joshua Fletcher and Dean Stott,Audiobook,Unabridged,English,B09MR7J1QQ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,16.40,1660,248,0,0,NaN,,,,81,12,4,2,1,Middle rank,78.02,,1
16881,11450,Self-Help,Self-Help for Anxieties & Phobias,#35,/You-Care-Too-Much-Yourself/dp/B07MXQTVJX/ref=zg_bs_21602943011_sccl_5/000-0000000-0000000?pd_rd_i=B07MXQTVJX&psc=1,"[61%, 17%, 14%, 2%, 6%]",You Care Too Much: Free Yourself from Social Anxiety,Carl Vernon,$21.88,AudibleAudiobook,178,4.3,5 hours and 39 minutes,Carl Vernon,January 21 2019,Carl Vernon,Audiobook,Unabridged,English,B07MXQTVJX,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,21.88,178,339,0,0,NaN,,,,61,17,14,2,6,Middle rank,7.65,,1
16884,11452,Self-Help,Self-Help for Anxieties & Phobias,#38,/Self-Guided-EMDR-Therapy-Workbook-Depression/dp/B08FLQRKLQ/ref=zg_bs_21602943011_sccl_8/000-0000000-0000000?pd_rd_i=B08FLQRKLQ&psc=1,"[65%, 16%, 8%, 4%, 7%]","Self-Guided EMDR Therapy & Workbook: Healing from Anxiety, Anger, Stress, Depression, PTSD & Emotional Trauma",Katherine Andler,$7.62,AudibleAudiobook,383,4.3,1 hour and 8 minutes,Melanie Hensch,August 11 2020,Katherine Andler,Audiobook,Unabridged,English,B08FLQRKLQ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,7.62,383,68,0,0,NaN,,,2020-08-11,65,16,8,4,7,Middle rank,16.47,26205.11,1
16885,11453,Self-Help,Self-Help for Anxieties & Phobias,#39,/Anxiety-Relationship-Jealousy-Insecurity-Conflict/dp/B09FRDSH7D/ref=zg_bs_21602943011_sccl_9/000-0000000-0000000?pd_rd_i=B09FRDSH7D&psc=1,"[68%, 26%, 0%, 0%, 6%]","Anxiety in Relationship: Say Goodbye to Jealousy, Insecurity and Conflict - The Ultimate Guide for Couples and Singles Who Want to Avoid Fatal Relationship Mistakes",Markus Smith,$21.88,AudibleAudiobook,24,4.5,5 hours and 7 minutes,Eurosolution Narrators,September 13 2021,Eurosolution2 ltd,Audiobook,Unabridged,English,B09FRDSH7D,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,21.88,24,307,0,0,NaN,,,,68,26,0,0,6,Middle rank,,,1
